Year,Month,Rainfall (mm)
1964,1,17.2
1964,2,40.1
1964,3,153.6
1964,4,135.7
1964,5,78.8
1964,6,434.4
1964,7,9.1
1964,8,24.6
1964,9,16.7
1964,10,85.5
1964,11,71.9
1964,12,38.1
1965,1,30.5
1965,2,33.5
1965,3,7.9
1965,4,93.2
1965,5,45.8
1965,6,235.2
1965,7,93.1
1965,8,11.5
1965,9,95.6
1965,10,177.4
1965,11,37.8
1965,12,38.1
1966,1,22.8
1966,2,140.9
1966,3,138.4
1966,4,240.3
1966,5,65.8
1966,6,139.9
1966,7,15.6
1966,8,100.1
1966,9,62.7
1966,10,57.6
1966,11,179.6
1966,12,96.1
1967,1,156.7
1967,2,156.6
1967,3,136.9
1967,4,39.1
1967,5,43.9
1967,6,342.4
1967,7,31.3
1967,8,200.2
1967,9,107.8
1967,10,87.4
1967,11,111.2
1967,12,48.8
1968,1,132.7
1968,2,20.2
1968,3,115.4
1968,4,16.0
1968,5,116.7
1968,6,23.9
1968,7,64.3
1968,8,28.7
1968,9,5.1
1968,10,4.4
1968,11,18.1
1968,12,86.9
1969,1,53.0
1969,2,251.2
1969,3,100.8
1969,4,186.5
1969,5,49.4
1969,6,204.0
1969,7,51.0
1969,8,164.7
1969,9,85.3
1969,10,42.9
1969,11,248.0
1969,12,35.5
1970,1,142.8
1970,2,49.3
1970,3,203.4
1970,4,58.5
1970,5,10.6
1970,6,40.7
1970,7,1.8
1970,8,34.4
1970,9,165.4
1970,10,20.3
1970,11,127.5
1970,12,274.4
1971,1,132.2
1971,2,181.2
1971,3,78.2
1971,4,84.6
1971,5,114.6
1971,6,70.2
1971,7,19.6
1971,8,180.6
1971,9,54.6
1971,10,2.5
1971,11,76.0
1971,12,129.5
1972,1,400.7
1972,2,110.3
1972,3,201.0
1972,4,70.6
1972,5,96.3
1972,6,112.0
1972,7,4.1
1972,8,34.9
1972,9,11.1
1972,10,170.0
1972,11,63.5
1972,12,42.8
1973,1,279.8
1973,2,351.1
1973,3,108.5
1973,4,77.4
1973,5,28.5
1973,6,73.8
1973,7,107.6
1973,8,91.2
1973,9,72.6
1973,10,178.6
1973,11,121.8
1973,12,33.4
1974,1,200.6
1974,2,44.0
1974,3,284.6
1974,4,164.6
1974,5,229.5
1974,6,220.5
1974,7,17.4
1974,8,175.8
1974,9,46.4
1974,10,74.7
1974,11,115.2
1974,12,33.4
1975,1,47.6
1975,2,140.0
1975,3,388.6
1975,4,78.0
1975,5,18.6
1975,6,379.2
1975,7,49.0
1975,8,25.8
1975,9,49.6
1975,10,115.0
1975,11,32.2
1975,12,37.4
1976,1,293.6
1976,2,221.0
1976,3,304.3
1976,4,50.8
1976,5,22.9
1976,6,155.4
1976,7,153.4
1976,8,38.0
1976,9,135.4
1976,10,286.0
1976,11,112.6
1976,12,23.6
1977,1,99.0
1977,2,174.4
1977,3,256.8
1977,4,25.8
1977,5,133.2
1977,6,111.4
1977,7,10.0
1977,8,20.6
1977,9,49.0
1977,10,20.0
1977,11,36.0
1977,12,30.8
1978,1,225.4
1978,2,15.4
1978,3,250.2
1978,4,141.0
