ERROR:root:Invalid data at index 235378: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083114, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235379: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083115, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235380: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083116, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235381: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083117, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235382: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083118, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235383: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083119, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235384: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083120, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235385: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083121, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235386: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083122, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235387: {'STATIONS_ID': 433, 'MESS_DATUM': 2022083123, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235388: {'STATIONS_ID': 433, 'MESS_DATUM': 2022090100, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235389: {'STATIONS_ID': 433, 'MESS_DATUM': 2022090101, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235390: {'STATIONS_ID': 433, 'MESS_DATUM': 2022090102, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235391: {'STATIONS_ID': 433, 'MESS_DATUM': 2022090103, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235392: {'STATIONS_ID': 433, 'MESS_DATUM': 2022090104, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235393: {'STATIONS_ID': 433, 'MESS_DATUM': 2022090105, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235394: {'STATIONS_ID': 433, 'MESS_DATUM': 2022090106, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
ERROR:root:Invalid data at index 235395: {'STATIONS_ID': 433, 'MESS_DATUM': 2022090107, 'QN_8': 3, 'R1': -999.0, 'RS_IND': -999, 'WRTR': -999, 'eor': 'eor'}
